NS1,NS2,3
NS2,NS3,2
NS3,NS4,3
NS4,NS5,3
NS5,NS7,4
NS7,NS8,3
NS8,NS9,2
NS9,NS10,3
NS10,NS11,3
NS11,NS13,3
NS13,NS14,3
NS14,NS15,5
NS15,NS16,2
NS16,NS17,3
NS17,NS18,2
NS18,NS19,2
NS19,NS20,2
NS20,NS21,2
NS21,NS22,2
NS22,NS23,2
NS23,NS24,1
NS24,NS25,2
NS25,NS26,2
NS26,NS27,2
NS27,NS28,2
