Lentor MRT Station TE5,103.836556,1.384615
Mayflower MRT Station TE6,103.83669,1.371476
Bright Hill MRT Station TE7/CR13,103.833541,1.363801
Upper Thomson MRT Station TE8,103.832962,1.354529
Mount Pleasant MRT Station TE10,103.835049,1.328604
Napier TE12,103.818886,1.3064229
Orchard Boulevard TE13,103.823955,1.302438
Great World TE15,103.833048,1.29478
Havelock TE16,103.833423,1.288505
Maxwell TE18,103.84366,1.28055
Shenton Way TE19,103.850257,1.27765
Marina South MRT Station TE21,103.863244,1.27418
Gardens by the Bay MRT Station TE22,103.868716,1.280444
